genre,director,budget,gross,runtime,rating
Drama,Stanley Kubrick,19000000.0,46998772.0,146.0,R
Adventure,Randal Kleiser,4500000.0,58853106.0,104.0,R
Action,Irvin Kershner,18000000.0,538375067.0,124.0,PG
Comedy,Jim Abrahams,3500000.0,83453539.0,88.0,PG
Comedy,Harold Ramis,6000000.0,39846344.0,98.0,R
Horror,Sean S. Cunningham,550000.0,39754601.0,95.0,R
Action,John Landis,27000000.0,115229890.0,133.0,R
Biography,Martin Scorsese,18000000.0,23402427.0,129.0,R
Action,Richard Lester,54000000.0,108185706.0,127.0,PG
Biography,Walter Hill,10000000.0,15795189.0,100.0,R
Action,Buddy Van Horn,15000000.0,70687344.0,116.0,PG
Adventure,Jamie Uys,5000000.0,30031783.0,109.0,PG
Adventure,Robert Altman,20000000.0,49823037.0,114.0,PG
Drama,Robert Redford,6000000.0,54766923.0,124.0,R
Crime,Brian De Palma,6500000.0,31899000.0,104.0,R
Drama,Jeannot Szwarc,5100000.0,9709597.0,103.0,PG
Comedy,Colin Higgins,10000000.0,103300686.0,109.0,PG
Horror,John Carpenter,1000000.0,21448782.0,89.0,R
Crime,William Friedkin,11000000.0,19814523.0,102.0,R
Adventure,Michael Cimino,44000000.0,3484523.0,219.0,R
Action,Don Taylor,12000000.0,16647800.0,103.0,PG
Fantasy,Robert Greenwald,20000000.0,22762571.0,96.0,PG
Crime,Stuart Rosenberg,9000000.0,37121708.0,131.0,R
Crime,Paul Schrader,4800000.0,22743674.0,117.0,R
Drama,Lamont Johnson,5100000.0,534816.0,97.0,PG
Comedy,Howard Zieff,10000000.0,69847348.0,109.0,R
Comedy,Floyd Mutrux,4000000.0,10000000.0,91.0,R
Comedy,Kevin Connor,3000000.0,6342668.0,101.0,R
Action,Richard Rush,3500000.0,7063886.0,131.0,R
Action,Michael Ritchie,22000000.0,15716828.0,109.0,R
Action,Clive Donner,15000000.0,14662035.0,94.0,PG
Comedy,Woody Allen,10000000.0,10389003.0,89.0,PG
Comedy,Jonathan Demme,7000000.0,4309490.0,95.0,R
Action,Clint Eastwood,6500000.0,24265659.0,116.0,PG
Action,James Goldstone,20000000.0,3763988.0,121.0,PG
Comedy,Joe Camp,6000000.0,6216067.0,103.0,PG
Action,Eric Karson,4000000.0,18971000.0,103.0,R
Adventure,Charles Jarrott,6000000.0,11000000.0,97.0,G
Comedy,Paul Mazursky,5500000.0,4400000.0,115.0,R
Drama,John Huston,5100000.0,59167.0,94.0,R
Action,Steven Spielberg,18000000.0,389925971.0,115.0,PG
Comedy,John Landis,10000000.0,30669378.0,97.0,R
Action,John Carpenter,6000000.0,25244626.0,99.0,R
Horror,Sam Raimi,350000.0,2956630.0,85.0,NC-17
Comedy,Bob Clark,2500000.0,111289673.0,94.0,R
Crime,Brian De Palma,18000000.0,12000000.0,108.0,R
Action,Desmond Davis,15000000.0,41092328.0,118.0,PG
Adventure,John Boorman,11000000.0,34971136.0,140.0,R
Action,George Miller,3000000.0,23668369.0,96.0,R
Comedy,Ivan Reitman,10000000.0,85297000.0,106.0,R
Action,Hal Needham,18000000.0,72179579.0,95.0,PG
Action,Michael Mann,5500000.0,11492915.0,123.0,R
Adventure,Terry Gilliam,5000000.0,42368025.0,110.0,PG
Horror,Steve Miner,1250000.0,21722776.0,87.0,R
Action,John Glen,28000000.0,54813222.0,127.0,PG
Horror,Rick Rosenthal,2500000.0,25533818.0,92.0,R
Drama,Harold Becker,14000000.0,35856053.0,126.0,PG
Biography,Warren Beatty,32000000.0,40382659.0,195.0,PG
Animation,Directors,12000000.0,63456988.0,83.0,G
Biography,Hugh Hudson,5500000.0,59303359.0,125.0,PG
Drama,Sydney Pollack,12000000.0,40716963.0,116.0,PG
Adventure,John Derek,6500000.0,36565280.0,115.0,Approved
Drama,John Huston,10000000.0,10853418.0,116.0,PG
Comedy,Steve Gordon,7000000.0,95461682.0,97.0,PG
Comedy,Mel Brooks,11000000.0,31672907.0,92.0,R
Horror,Joe Dante,1000000.0,17985893.0,91.0,R
Action,Matthew Robbins,18000000.0,14110013.0,109.0,PG
Crime,Ivan Passer,3000000.0,1752634.0,109.0,R
Adventure,Jean-Jacques Annaud,12500000.0,20962615.0,100.0,R
Horror,Graham Baker,5000000.0,20471382.0,108.0,R
Biography,Frank Perry,5000000.0,19032261.0,129.0,R
Comedy,Alan Myerson,2800000.0,26279000.0,87.0,R
Crime,Bob Rafelson,12000000.0,12376625.0,122.0,R
Horror,Wes Craven,2500000.0,8279042.0,100.0,R
Crime,Peter Yates,8500000.0,6400000.0,103.0,R
Action,Peter Hyams,16000000.0,17374595.0,109.0,R
Comedy,Blake Edwards,12000000.0,14867086.0,122.0,R
Horror,Lucio Fulci,400000.0,123843.0,87.0,R
Drama,Francis Ford Coppola,26000000.0,636796.0,107.0,R
Crime,Ulu Grosbard,10000000.0,12850276.0,108.0,R
Action,Bruce Malmuth,5000000.0,19905359.0,99.0,R
Comedy,John G. Avildsen,8500000.0,29916207.0,94.0,R
Horror,Michael Wadleigh,17000000.0,10626725.0,115.0,R
Crime,Sidney Lumet,8600000.0,8124257.0,167.0,R
Horror,Ken Wiederhorn,800000.0,1118634.0,84.0,R
Comedy,Steve Rash,20000000.0,18826490.0,98.0,PG
Comedy,Michael Schultz,6000000.0,9566593.0,92.0,PG
Comedy,Ken Shapiro,8000000.0,26154211.0,93.0,PG
Drama,Herbert Ross,22000000.0,9171289.0,108.0,R
Action,William A. Fraker,18000000.0,12617845.0,98.0,PG
Adventure,Franklin J. Schaffner,14000000.0,2022771.0,118.0,PG
Drama,Luis Valdez,2700000.0,3256082.0,103.0,R
Comedy,Billy Wilder,10000000.0,7258543.0,96.0,R
Comedy,Oz Scott,11000000.0,31261269.0,94.0,R
Comedy,Allan Arkush,12000000.0,2154696.0,78.0,PG
Comedy,Gus Trikonis,3500000.0,17569027.0,100.0,PG
Comedy,John Badham,13000000.0,8206145.0,119.0,R
Drama,Terence Young,46000000.0,5200986.0,140.0,PG
Comedy,Jean-Claude Tramont,14000000.0,4454295.0,87.0,R
Adventure,Roger Spottiswoode,12000000.0,3702028.0,100.0,PG
Drama,Alan J. Pakula,16000000.0,10851261.0,116.0,R
Action,John Schlesinger,24000000.0,2004742.0,107.0,PG
Action,Noel Nosseck,2000000.0,1791147.0,90.0,PG
Comedy,Amy Heckerling,4500000.0,27092880.0,90.0,R
Action,Ridley Scott,28000000.0,41676878.0,117.0,R
Horror,John Carpenter,15000000.0,19632053.0,109.0,R
Action,John Milius,20000000.0,68851475.0,129.0,R
Family,Steven Spielberg,10500000.0,792910554.0,115.0,PG
Action,Ted Kotcheff,15000000.0,125212904.0,93.0,R
Drama,Taylor Hackford,7500000.0,129795554.0,124.0,R
Comedy,Patricia Birch,13200000.0,15171476.0,115.0,PG
Comedy,John Huston,50000000.0,57063861.0,127.0,PG
Horror,Tobe Hooper,10700000.0,77142388.0,114.0,PG
Action,Walter Hill,12000000.0,78868508.0,96.0,R
Action,Nicholas Meyer,11200000.0,78912963.0,113.0,PG
Drama,Alan J. Pakula,12000000.0,30036000.0,150.0,R
Biography,Richard Attenborough,22000000.0,52767889.0,191.0,PG
Comedy,Sydney Pollack,21000000.0,177200000.0,116.0,PG
Action,Steven Lisberger,17000000.0,33000525.0,96.0,PG
Animation,Don Bluth,7000000.0,14665733.0,82.0,G
Comedy,Martin Scorsese,20000000.0,2536242.0,109.0,PG
Drama,Sylvester Stallone,17000000.0,125052686.0,99.0,PG
Action,Don Coscarelli,8000000.0,14056528.0,118.0,PG
Comedy,George A. Romero,8000000.0,21028755.0,120.0,R
Adventure,George Miller,3500000.0,20659423.0,102.0,PG
Drama,Alan Parker,12000000.0,22265763.0,95.0,R
Fantasy,Paul Schrader,18000000.0,7000000.0,118.0,R
Drama,Ingmar Bergman,6000000.0,6795771.0,188.0,R
Horror,Steve Miner,2300000.0,36690067.0,95.0,R
Action,Clint Eastwood,18000000.0,46708276.0,136.0,PG
Horror,Tommy Lee Wallace,2500000.0,14400000.0,98.0,R
Adventure,Jim Henson,15000000.0,41630431.0,93.0,PG
Drama,Sidney Lumet,16000000.0,53993738.0,129.0,R
Horror,Juan Piquer Simón,300000.0,2032311.0,85.0,Not Rated
Comedy,George Roy Hill,17000000.0,29712172.0,136.0,R
Comedy,Barry Levinson,5000000.0,14099953.0,110.0,R
Comedy,Colin Higgins,35000000.0,69701637.0,114.0,R
Drama,Peter Weir,13000000.0,10278575.0,115.0,PG
Animation,Jules Bass,3500000.0,6455330.0,92.0,G
Drama,Sidney J. Furie,9000000.0,13277558.0,125.0,R
Comedy,Ken Finkleman,15000000.0,27150534.0,85.0,PG
Comedy,Richard Donner,17000000.0,47118057.0,102.0,PG
Horror,Mark Rosman,425000.0,10604986.0,91.0,R
Crime,Guy Hamilton,10000000.0,6110670.0,117.0,PG
Action,Michael Winner,2000000.0,16100000.0,89.0,R
Action,Michael Miller,4500000.0,10490791.0,103.0,R
Action,Hal Needham,20000000.0,5675599.0,99.0,PG
Drama,Robert Towne,16000000.0,5672311.0,128.0,R
Comedy,Carl Reiner,9000000.0,18196170.0,88.0,PG
